R56, CT.QDD0520, CT.QFD0530, CT.QFH0610, CT.QFH0620, CT.QFH0640, CT.QDI0650, CT.QFF0660, CT.QFH0680, CT.QFF0690, CT.QDF0720, CT.QFJ0730, CT.QDJ0740, CT.QFG0750
0.390, 16.045, 15.716, 26.269, 18.381, 9.445, 8.807, 47.741, 16.837, 29.804, 10.116, 37.125, 66.514, 20.570
0.395, 15.816, 15.046, 25.939, 17.848, 9.452, 8.006, 46.516, 16.894, 30.305, 8.873, 37.550, 66.628, 19.901
0.400, 15.833, 15.040, 26.010, 17.819, 9.445, 8.002, 46.455, 17.030, 30.188, 8.569, 37.519, 66.684, 19.813
0.405, 16.181, 15.436, 26.214, 17.986, 9.398, 8.045, 46.602, 17.164, 29.953, 10.449, 38.165, 65.161, 18.966
0.410, 15.902, 15.150, 26.468, 18.011, 9.349, 8.106, 46.765, 17.271, 29.771, 8.972, 37.342, 66.471, 19.864
0.415, 15.923, 15.188, 26.627, 18.080, 9.322, 8.147, 46.850, 17.428, 29.518, 9.081, 37.314, 66.331, 19.790
0.420, 16.048, 15.377, 27.387, 18.373, 9.089, 8.400, 48.172, 17.964, 27.684, 11.621, 36.898, 65.178, 20.125
0.425, 15.830, 15.225, 26.552, 18.414, 9.414, 8.376, 46.644, 17.773, 29.143, 7.724, 37.314, 66.571, 19.348
0.430, 15.962, 15.203, 26.696, 17.998, 9.363, 8.113, 46.299, 17.668, 29.726, 7.585, 37.377, 66.715, 19.356
0.435, 16.059, 15.187, 26.858, 17.722, 9.311, 7.994, 46.283, 17.786, 29.633, 7.625, 37.324, 66.680, 19.368
0.440, 16.080, 15.175, 26.932, 17.673, 9.301, 7.994, 46.245, 17.927, 29.493, 7.240, 37.261, 66.803, 19.305
0.445, 16.123, 15.315, 27.128, 17.854, 9.289, 8.026, 46.080, 17.807, 29.986, 7.248, 37.343, 66.775, 19.223
0.450, 16.130, 15.319, 27.118, 17.834, 9.309, 8.014, 45.882, 17.915, 30.013, 6.817, 37.414, 66.816, 18.990
0.455, 16.167, 15.352, 27.417, 17.911, 9.237, 8.074, 46.203, 18.125, 29.495, 7.207, 37.264, 66.614, 19.074
0.460, 16.239, 15.320, 27.463, 17.634, 9.222, 7.965, 46.085, 18.285, 29.367, 7.022, 37.281, 66.572, 18.932
0.465, 16.369, 15.367, 27.738, 17.418, 9.148, 7.872, 46.205, 18.417, 29.139, 7.576, 37.257, 66.254, 18.929
0.470, 16.247, 15.491, 27.779, 18.036, 9.206, 8.273, 46.301, 18.480, 29.118, 6.304, 36.992, 66.777, 18.972
0.475, 16.392, 15.613, 28.280, 17.985, 9.087, 8.078, 46.206, 18.246, 29.809, 7.356, 37.125, 66.532, 19.090
0.480, 16.415, 15.504, 28.097, 17.650, 9.127, 8.021, 46.080, 18.612, 29.241, 6.592, 37.110, 66.528, 18.760
0.485, 16.577, 15.817, 29.002, 18.029, 8.941, 8.105, 46.497, 18.282, 29.825, 8.047, 36.900, 66.330, 19.351
0.490, 16.650, 15.818, 29.153, 17.864, 8.912, 7.996, 46.338, 18.297, 30.030, 7.845, 36.891, 66.426, 19.308
0.495, 16.496, 15.501, 28.167, 17.406, 9.140, 7.936, 45.605, 18.902, 29.370, 5.287, 37.173, 66.812, 18.250
0.500, 16.563, 15.566, 28.402, 17.402, 9.095, 7.878, 45.552, 18.916, 29.510, 5.591, 37.242, 66.617, 18.158
0.505, 16.601, 15.641, 28.637, 17.506, 9.059, 7.979, 45.756, 19.072, 29.172, 5.658, 37.124, 66.470, 18.165
0.510, 16.638, 15.664, 28.742, 17.468, 9.047, 8.016, 45.784, 19.214, 28.991, 5.312, 37.030, 66.530, 18.108
0.515, 16.620, 15.659, 28.692, 17.492, 9.067, 7.958, 45.432, 19.229, 29.350, 4.857, 37.225, 66.602, 17.744
0.520, 16.821, 15.835, 29.390, 17.435, 8.925, 7.852, 45.659, 19.093, 29.629, 6.130, 37.133, 66.240, 18.104
0.525, 16.810, 15.742, 29.136, 17.207, 8.981, 7.835, 45.391, 19.313, 29.508, 4.830, 37.112, 66.630, 17.776
0.530, 16.685, 15.678, 28.814, 17.365, 9.055, 7.946, 45.150, 19.575, 29.231, 3.740, 37.269, 66.694, 17.137
0.535, 16.737, 15.731, 29.004, 17.365, 9.024, 7.929, 45.097, 19.596, 29.381, 3.687, 37.270, 66.692, 17.075
0.540, 16.718, 15.734, 28.953, 17.409, 9.038, 7.984, 44.998, 19.748, 29.262, 3.123, 37.313, 66.696, 16.731
0.545, 16.995, 15.924, 29.835, 17.206, 8.871, 7.744, 45.120, 19.462, 29.969, 4.636, 37.205, 66.471, 17.348
0.550, 17.081, 16.068, 30.320, 17.363, 8.796, 7.865, 45.475, 19.541, 29.682, 5.114, 36.995, 66.270, 17.598
0.555, 17.039, 16.016, 30.126, 17.338, 8.837, 7.943, 45.384, 19.804, 29.318, 4.117, 36.992, 66.415, 17.211
0.560, 17.096, 16.095, 30.408, 17.395, 8.786, 7.860, 45.280, 19.784, 29.569, 4.663, 37.172, 66.028, 17.000
0.565, 17.083, 16.082, 30.346, 17.389, 8.800, 7.817, 44.952, 19.774, 30.014, 3.955, 37.293, 66.279, 16.682
0.570, 17.108, 16.107, 30.440, 17.387, 8.787, 7.870, 45.000, 19.934, 29.771, 3.625, 37.244, 66.244, 16.512
0.575, 17.025, 16.133, 30.361, 17.651, 8.804, 8.032, 45.007, 20.138, 29.456, 3.118, 37.331, 66.092, 16.055
0.580, 17.086, 16.223, 30.603, 17.701, 8.770, 7.979, 44.816, 20.015, 30.068, 3.179, 37.429, 66.132, 15.984
0.585, 17.115, 16.290, 30.701, 17.810, 8.748, 7.998, 44.697, 20.017, 30.319, 2.920, 37.539, 66.105, 15.685
0.590, 16.901, 16.121, 29.981, 18.018, 8.758, 7.914, 44.103, 20.213, 30.303, 1.553, 38.237, 65.239, 13.454
0.595, 17.126, 16.427, 30.668, 17.986, 8.770, 8.172, 44.426, 20.056, 30.851, 1.707, 37.674, 66.496, 15.100
0.600, 17.026, 16.316, 30.399, 17.969, 8.779, 8.063, 43.915, 20.007, 31.494, 0.643, 37.942, 66.758, 14.297
